D	P
55+475	55+742
55+024	55+400
54+524	54+899
53+973	54+349
53+423	53+797
52+871	53+247
52+321	52+696
51+769	52+146
51+219	51+594
50+671	51+044
50+123	50+477
49+574	49+949
49+024	49+399
48+474	48+849
47+924	48+299
47+374	47+749
46+848	47+199
46+281	46+647
45+733	46+097
45+183	45+533
44+633	44+983
44+088	44+433
43+538	43+888
42+988	43+338
42+438	42+788
41+888	42+238
41+338	41+688
40+788	41+138
40+238	40+588
39+688	40+038
39+138	39+488
38+588	38+938
38+038	38+388
37+538	37+838
37+259	37+313
